"Median Reimbursement: Acute myocardial infarction, discharged alive without complications or comorbidities","10489","Peninsula Hospital Center","Far Rockaway","NY","102902","8141.00000","dollars",NULL,NULL,"2007-10-01","2008-09-30"
"Median Reimbursement: Acute myocardial infarction, discharged alive without complications or comorbidities","10489","Peninsula Hospital Center","Far Rockaway","NY","102902","8141.00000","dollars",NULL,NULL,"2008-10-01","2009-09-30"
"Median Reimbursement: Acute myocardial infarction, discharged alive without complications or comorbidities","10489","Peninsula Hospital Center","Far Rockaway","NY","102902","7506.00000","dollars",NULL,NULL,"2009-10-01","2010-09-30"
"Median Reimbursement: Acute myocardial infarction, discharged alive without complications or comorbidities","10489","Bronx-Lebanon Hospital Center - Fulton Division","Bronx","NY","102908","1610.00000","dollars",NULL,"15.00000","2007-10-01","2008-09-30"
"Median Reimbursement: Acute myocardial infarction, discharged alive without complications or comorbidities","10489","Bronx-Lebanon Hospital Center - Fulton Division","Bronx","NY","102908","1610.00000","dollars",NULL,"15.00000","2008-10-01","2009-09-30"
"Median Reimbursement: Acute myocardial infarction, discharged alive without complications or comorbidities","10489","Bronx-Lebanon Hospital Center - Fulton Division","Bronx","NY","102908","11216.00000","dollars",NULL,NULL,"2009-10-01","2010-09-30"
"Median Reimbursement: Acute myocardial infarction, discharged alive without complications or comorbidities","10489","Jamaica Hospital Medical Center","Jamaica","NY","102912","7397.00000","dollars",NULL,"89.00000","2007-10-01","2008-09-30"
"Median Reimbursement: Acute myocardial infarction, discharged alive without complications or comorbidities","10489","Jamaica Hospital Medical Center","Jamaica","NY","102912","7397.00000","dollars",NULL,"89.00000","2008-10-01","2009-09-30"
"Median Reimbursement: Acute myocardial infarction, discharged alive without complications or comorbidities","10489","Jamaica Hospital Medical Center","Jamaica","NY","102912","9272.00000","dollars",NULL,"52.00000","2009-10-01","2010-09-30"
"Median Reimbursement: Acute myocardial infarction, discharged alive without complications or comorbidities","10489","New York Community Hospital of Brooklyn Inc","Brooklyn","NY","102914","8212.00000","dollars",NULL,"19.00000","2007-10-01","2008-09-30"
